Trio,Paternal GT,Maternal GT,F1 age,Min DP,Max DP,Min AB,Max AB,MVs,# MVs passed,Transmission frequency,Paternal MVs,Maternal MVs,CpG MVs,Sites,CpG sites,Avg DP,Uncallable sites,Percent CpG,SNPs,CpG SNPs,Avg SNP DP,Uncallable SNP sites,Percent CpG,Mutation rate,Total SNPs,Post Filter SNPs,AB filtered SNPs,Min FN,MVs corrected for FN,Mutation rate corrected for FN,Notes
1,4.89,5.27,6.83,NA,NA,NA,NA,2560,1299,0.507,628,520,298,2443559469,126989412,36.52811533,27780215,0.051969029,14044336,1758948,35.14341746,0,0.125242518,5.24E-07,471532403,471524253,0,0,2560,5.24E-07,No filters
2,5.67,6.27,1.53,NA,NA,NA,NA,2479,NA,NA,0,0,311,2441203332,126856437,36.55207159,30136352,0.051964716,14739209,1869286,35.59269124,0,0.126824038,5.08E-07,471532403,471524253,0,0,2479,5.08E-07,No filters
3,6.32,6.93,0.87,NA,NA,NA,NA,2786,NA,NA,0,0,323,2440753004,126833299,36.55683779,30586680,0.051964823,15562027,1973301,34.90274384,0,0.126802312,5.71E-07,471532403,471524253,0,0,2786,5.71E-07,No filters
4,10.06,10.36,5.58,NA,NA,NA,NA,2624,977,0.372,1105,1090,280,2440359615,126810901,36.56546776,30980069,0.051964022,16440323,2095877,33.40926781,0,0.127483931,5.38E-07,471532403,471524253,0,0,2624,5.38E-07,No filters
5,13.12,4.76,1.19,NA,NA,NA,NA,2433,NA,NA,0,0,266,2441331889,126866952,36.55353968,30007795,0.051966286,15200357,1922242,34.75516325,0,0.126460319,4.98E-07,471532403,471524253,0,0,2433,4.98E-07,No filters
6,5.2,4.65,8.61,NA,NA,NA,NA,2961,1453,0.491,742,630,328,2440201409,126798641,36.56534218,31138275,0.051962367,16441340,2096322,38.29135697,0,0.127503111,6.07E-07,471532403,471524253,0,0,2961,6.07E-07,No filters
7,7.44,7.74,1.17,NA,NA,NA,NA,2721,NA,NA,0,0,298,2441486461,126867855,36.55523747,29853223,0.051963366,15133207,1913012,35.53288447,0,0.12641154,5.57E-07,471532403,471524253,0,0,2721,5.57E-07,No filters
8,8.04,8.34,0.96,NA,NA,NA,NA,2936,NA,NA,0,0,321,2441999159,126900420,36.54818563,29340525,0.051965792,14988068,1897714,36.36091363,0,0.126614985,6.01E-07,471532403,471524253,0,0,2936,6.01E-07,No filters
9,6.02,6.4,5.7,NA,NA,NA,NA,2175,670,0.308,926,857,272,2443498672,126987936,36.52962754,27841012,0.051969718,14014845,1754284,35.88052219,0,0.125173272,4.45E-07,471532403,471524253,0,0,2175,4.45E-07,No filters
10,7.02,4.96,1.1,NA,NA,NA,NA,2810,NA,NA,0,0,335,2441623219,126885137,36.54968146,29716465,0.051967534,15156676,1917246,36.54646382,0,0.12649515,5.75E-07,471532403,471524253,0,0,2810,5.75E-07,No filters
11,4.36,2.95,7.79,NA,NA,NA,NA,2836,1189,0.419,1146,1076,327,2439896397,126779936,36.57372901,31443287,0.051961196,16577195,2112132,34.57788172,0,0.127411905,5.81E-07,471532403,471524253,0,0,2836,5.81E-07,No filters
12,7.07,12.19,1.08,NA,NA,NA,NA,2597,NA,NA,0,0,316,2440265718,126798017,36.56818837,31073966,0.051960742,16586308,2112419,35.74021193,0,0.127359205,5.32E-07,471532403,471524253,0,0,2597,5.32E-07,No filters
13,2.78,3.26,5.52,NA,NA,NA,NA,2922,1166,0.399,1172,1163,349,2440071995,126794235,36.58506016,31267689,0.051963317,16329717,2077511,36.08431022,0,0.127222719,5.99E-07,471532403,471524253,0,0,2922,5.99E-07,No filters
14,4.98,7.38,0.97,NA,NA,NA,NA,2312,NA,NA,0,0,259,2439598245,126763292,36.60783398,31741439,0.051960724,16538766,2109469,33.6261261,0,0.12754694,4.74E-07,471532403,471524253,0,0,2312,4.74E-07,No filters
1,4.89,5.27,6.83,NA,NA,NA,NA,349,73,0.209,87,65,44,2443559469,126989412,36.52811533,27780215,0.051969029,7955,1010,21.69289755,14036295,0.126964173,7.18E-08,471532403,471071916,0,0,349,7.18E-08,
2,5.67,6.27,1.53,NA,NA,NA,NA,299,NA,NA,0,0,37,2441203332,126856437,36.55207159,30136352,0.051964716,6071,755,20.29616208,14733033,0.12436172,6.16E-08,471532403,471071916,0,0,299,6.16E-08,
3,6.32,6.93,0.87,NA,NA,NA,NA,366,NA,NA,0,0,25,2440753004,126833299,36.55683779,30586680,0.051964823,7216,822,21.17045455,15554705,0.113913525,7.55E-08,471532403,471071916,0,0,366,7.55E-08,
4,10.06,10.36,5.58,NA,NA,NA,NA,437,55,0.126,214,164,46,2440359615,126810901,36.56546776,30980069,0.051964022,9601,1155,21.28694928,16430639,0.120299969,9.01E-08,471532403,471071916,0,0,437,9.01E-08,
5,13.12,4.76,1.19,NA,NA,NA,NA,323,NA,NA,0,0,29,2441331889,126866952,36.55353968,30007795,0.051966286,6312,771,21.07002535,15193970,0.122148289,6.66E-08,471532403,471071916,0,0,323,6.66E-08,
6,5.2,4.65,8.61,NA,NA,NA,NA,507,98,0.193,144,107,53,2440201409,126798641,36.56534218,31138275,0.051962367,11679,1531,24.44541485,16429570,0.131089991,1.05E-07,471532403,471071916,0,0,507,1.05E-07,
7,7.44,7.74,1.17,NA,NA,NA,NA,356,NA,NA,0,0,32,2441486461,126867855,36.55523747,29853223,0.051963366,6533,776,21.29496403,15126597,0.11878157,7.34E-08,471532403,471071916,0,0,356,7.34E-08,
8,8.04,8.34,0.96,NA,NA,NA,NA,431,NA,NA,0,0,50,2441999159,126900420,36.54818563,29340525,0.051965792,6930,865,21.93968254,14981070,0.124819625,8.88E-08,471532403,471071916,0,0,431,8.88E-08,
9,6.02,6.4,5.7,NA,NA,NA,NA,289,21,0.073,134,109,34,2443498672,126987936,36.52962754,27841012,0.051969718,6399,781,21.05578997,14008378,0.12205032,5.95E-08,471532403,471071916,0,0,289,5.95E-08,
10,7.02,4.96,1.1,NA,NA,NA,NA,375,NA,NA,0,0,41,2441623219,126885137,36.54968146,29716465,0.051967534,7988,990,23.40748623,15148616,0.123935904,7.73E-08,471532403,471071916,0,0,375,7.73E-08,
11,4.36,2.95,7.79,NA,NA,NA,NA,410,72,0.176,153,177,50,2439896397,126779936,36.57372901,31443287,0.051961196,10525,1393,21.15486936,16566608,0.132351544,8.46E-08,471532403,471071916,0,0,410,8.46E-08,
12,7.07,12.19,1.08,NA,NA,NA,NA,315,NA,NA,0,0,38,2440265718,126798017,36.56818837,31073966,0.051960742,7989,1017,21.09926148,16578241,0.127300038,6.50E-08,471532403,471071916,0,0,315,6.50E-08,
13,2.78,3.26,5.52,NA,NA,NA,NA,441,44,0.1,157,185,55,2440071995,126794235,36.58506016,31267689,0.051963317,10124,1340,23.22807191,16319516,0.132358751,9.10E-08,471532403,471071916,0,0,441,9.10E-08,
14,4.98,7.38,0.97,NA,NA,NA,NA,349,NA,NA,0,0,39,2439598245,126763292,36.60783398,31741439,0.051960724,9752,1255,20.80065628,16528951,0.12869155,7.20E-08,471532403,471071916,0,0,349,7.20E-08,
1,4.89,5.27,6.83,NA,NA,0.05,0.95,334,73,0.219,81,65,43,2443559469,126989412,36.52811533,27780215,0.051969029,6481,827,25.08902947,14036295,0.127603765,6.87E-08,471532403,337230801,133841115,0.283842879,466.3781039,9.60E-08,
2,5.67,6.27,1.53,NA,NA,0.05,0.95,290,NA,NA,0,0,37,2441203332,126856437,36.55207159,30136352,0.051964716,4932,634,23.24776967,14733033,0.128548256,5.98E-08,471532403,337230801,133841115,0.283842879,404.9390723,8.34E-08,
3,6.32,6.93,0.87,NA,NA,0.05,0.95,355,NA,NA,0,0,25,2440753004,126833299,36.55683779,30586680,0.051964823,5972,689,23.93955124,15554705,0.115371735,7.32E-08,471532403,337230801,133841115,0.283842879,495.7012781,1.02E-07,
4,10.06,10.36,5.58,NA,NA,0.05,0.95,428,55,0.129,210,159,44,2440359615,126810901,36.56546776,30980069,0.051964022,7891,980,24.3590166,16430639,0.124192118,8.83E-08,471532403,337230801,133841115,0.283842879,597.634217,1.23E-07,
5,13.12,4.76,1.19,NA,NA,0.05,0.95,316,NA,NA,0,0,28,2441331889,126866952,36.55353968,30007795,0.051966286,5035,619,24.61807349,15193970,0.122939424,6.51E-08,471532403,337230801,133841115,0.283842879,441.2439546,9.09E-08,
6,5.2,4.65,8.61,NA,NA,0.05,0.95,504,98,0.194,143,107,53,2440201409,126798641,36.56534218,31138275,0.051962367,9689,1255,27.90494375,16429570,0.129528331,1.04E-07,471532403,337230801,133841115,0.283842879,703.7561807,1.45E-07,
7,7.44,7.74,1.17,NA,NA,0.05,0.95,350,NA,NA,0,0,32,2441486461,126867855,36.55523747,29853223,0.051963366,5410,672,24.01848429,15126597,0.124214418,7.21E-08,471532403,337230801,133841115,0.283842879,488.71957,1.01E-07,
8,8.04,8.34,0.96,NA,NA,0.05,0.95,424,NA,NA,0,0,49,2441999159,126900420,36.54818563,29340525,0.051965792,5641,716,25.24268747,14981070,0.12692785,8.74E-08,471532403,337230801,133841115,0.283842879,592.0488505,1.22E-07,
9,6.02,6.4,5.7,NA,NA,0.05,0.95,279,21,0.075,133,109,34,2443498672,126987936,36.52962754,27841012,0.051969718,5212,648,24.1061013,14008378,0.124328473,5.74E-08,471532403,337230801,133841115,0.283842879,389.5793143,8.02E-08,
10,7.02,4.96,1.1,NA,NA,0.05,0.95,371,NA,NA,0,0,41,2441623219,126885137,36.54968146,29716465,0.051967534,6633,832,26.46057591,15148616,0.125433439,7.64E-08,471532403,337230801,133841115,0.283842879,518.0427442,1.07E-07,
11,4.36,2.95,7.79,NA,NA,0.05,0.95,403,72,0.179,147,176,49,2439896397,126779936,36.57372901,31443287,0.051961196,8623,1165,23.95720747,16566608,0.135103792,8.32E-08,471532403,337230801,133841115,0.283842879,562.7256763,1.16E-07,
12,7.07,12.19,1.08,NA,NA,0.05,0.95,306,NA,NA,0,0,38,2440265718,126798017,36.56818837,31073966,0.051960742,6479,845,23.43247415,16578241,0.130421361,6.31E-08,471532403,337230801,133841115,0.283842879,427.2805383,8.81E-08,
13,2.78,3.26,5.52,NA,NA,0.05,0.95,432,44,0.102,157,180,55,2440071995,126794235,36.58506016,31267689,0.051963317,8247,1117,26.68582515,16319516,0.135443191,8.91E-08,471532403,337230801,133841115,0.283842879,603.2195835,1.24E-07,
14,4.98,7.38,0.97,NA,NA,0.05,0.95,344,NA,NA,0,0,39,2439598245,126763292,36.60783398,31741439,0.051960724,8054,1057,23.68698783,16528951,0.131239136,7.10E-08,471532403,337230801,133841115,0.283842879,480.3415202,9.91E-08,
1,4.89,5.27,6.83,NA,NA,0.1,0.9,327,71,0.217,79,65,43,2443559469,126989412,36.52811533,27780215,0.051969029,6326,814,24.86531774,14036295,0.128675308,6.73E-08,471532403,335749199,135322717,0.286984979,458.6158644,9.44E-08,
2,5.67,6.27,1.53,NA,NA,0.1,0.9,286,NA,NA,0,0,35,2441203332,126856437,36.55207159,30136352,0.051964716,4866,629,23.25524044,14733033,0.129264283,5.89E-08,471532403,335749199,135322717,0.286984979,401.1135695,8.27E-08,
3,6.32,6.93,0.87,NA,NA,0.1,0.9,351,NA,NA,0,0,25,2440753004,126833299,36.55683779,30586680,0.051964823,5899,683,23.8828615,15554705,0.115782336,7.24E-08,471532403,335749199,135322717,0.286984979,492.2757444,1.01E-07,
4,10.06,10.36,5.58,NA,NA,0.1,0.9,425,55,0.129,208,158,44,2440359615,126810901,36.56546776,30980069,0.051964022,7764,971,23.61321484,16430639,0.1250644,8.77E-08,471532403,335749199,135322717,0.286984979,596.0603743,1.23E-07,
